elapsed_ms,label,r,g,b
0,brightness_pinned_100,-1,-1,-1
459,sync_black,0,0,0
1507,sync_flash,255,255,255
1651,sync_gap,0,0,0
1963,sync_flash,255,255,255
2216,sync_gap,0,0,0
2537,sync_flash,255,255,255
2700,sync_gap,0,0,0
4501,rate_2_marker,0,0,0
5227,rate_2,255,0,0
5764,rate_2,0,0,255
6317,rate_2,255,0,0
6864,rate_2,0,0,255
7388,rate_2,255,0,0
7949,rate_2,0,0,255
8491,rate_2,255,0,0
9027,rate_2,0,0,255
9574,rate_5_marker,0,0,0
10320,rate_5,255,0,0
10555,rate_5,0,0,255
10785,rate_5,255,0,0
11013,rate_5,0,0,255
11304,rate_5,255,0,0
11534,rate_5,0,0,255
11759,rate_5,255,0,0
11977,rate_5,0,0,255
12213,rate_5,255,0,0
12450,rate_5,0,0,255
12705,rate_5,255,0,0
12946,rate_5,0,0,255
13180,rate_5,255,0,0
13402,rate_5,0,0,255
13624,rate_5,255,0,0
13878,rate_5,0,0,255
14123,rate_5,255,0,0
14348,rate_5,0,0,255
14581,rate_5,255,0,0
14811,rate_5,0,0,255
15046,rate_10_marker,0,0,0
15772,rate_10,255,0,0
15943,rate_10,0,0,255
16075,rate_10,255,0,0
16212,rate_10,0,0,255
16361,rate_10,255,0,0
16485,rate_10,0,0,255
16611,rate_10,255,0,0
16738,rate_10,0,0,255
16947,rate_10,255,0,0
17083,rate_10,0,0,255
17265,rate_10,255,0,0
17404,rate_10,0,0,255
17550,rate_10,255,0,0
17674,rate_10,0,0,255
17804,rate_10,255,0,0
17947,rate_10,0,0,255
18073,rate_10,255,0,0
18212,rate_10,0,0,255
18361,rate_10,255,0,0
18504,rate_10,0,0,255
18648,rate_10,255,0,0
18798,rate_10,0,0,255
18930,rate_10,255,0,0
19065,rate_10,0,0,255
19207,rate_10,255,0,0
19339,rate_10,0,0,255
19460,rate_10,255,0,0
19593,rate_10,0,0,255
19737,rate_10,255,0,0
19875,rate_10,0,0,255
20024,rate_10,255,0,0
20157,rate_10,0,0,255
20324,rate_10,255,0,0
20460,rate_10,0,0,255
